name,value
Aff4,ENSMUSG00000049470
Smarca4,ENSMUSG00000032187
Chd7,ENSMUSG00000041235
Ctcf,ENSMUSG00000005698
Dpy30,ENSMUSG00000024067
E2f1,ENSMUSG00000027490
Ell2,ENSMUSG00000001542
Setdb1,ENSMUSG00000015697
Esrrb,ENSMUSG00000021255
Ezh2,ENSMUSG00000029687
Klf4,ENSMUSG00000003032
Med12,ENSMUSG00000079487
Med1,ENSMUSG00000018160
Nanog,ENSMUSG00000012396
Nelfa,ENSMUSG00000029111
Nipbl,ENSMUSG00000022141
Mycn,ENSMUSG00000037169
Pou5f1,ENSMUSG00000024406
Ep300,ENSMUSG00000055024
Prdm14,ENSMUSG00000042414
Rad21,ENSMUSG00000022314
Rbbp5,ENSMUSG00000026439
Rest,ENSMUSG00000029249
Rnf2,ENSMUSG00000026484
Sin3a,ENSMUSG00000042557
Smc1a,ENSMUSG00000041133
Smc3,ENSMUSG00000024974
Sox2,ENSMUSG00000074637
Stat3,ENSMUSG00000004040
Suz12,ENSMUSG00000017548
Tbp,ENSMUSG00000014767
Tcf3,ENSMUSG00000020167
Tfcp2l1,ENSMUSG00000026380
Tet1,ENSMUSG00000047146
Wdr5,ENSMUSG00000026917
Zfx,ENSMUSG00000079509
Tbx3,ENSMUSG00000018604
Zfp281,ENSMUSG00000041483
Sall4,ENSMUSG00000027547
Nr0b1,ENSMUSG00000025056
Zfp42,ENSMUSG00000051176
Jarid2,ENSMUSG00000038518
Klf5,ENSMUSG00000005148
Foxp1,ENSMUSG00000030067
Yy1,ENSMUSG00000021264
Ep400,ENSMUSG00000029505
Kat5,ENSMUSG00000024926
Kdm5b,ENSMUSG00000042207
Aff1,ENSMUSG00000029313
Cdc5l,ENSMUSG00000023932
Cdyl,ENSMUSG00000059288
Cdyl2,ENSMUSG00000031758
Ctbp2,ENSMUSG00000030970
Ctnnb1,ENSMUSG00000006932
Dmrt1,ENSMUSG00000024837
Dnmt3b,ENSMUSG00000027478
Dnmt3l,ENSMUSG00000000730
Dppa2,ENSMUSG00000072419
Dppa5a,ENSMUSG00000060461
Ebf1,ENSMUSG00000057098
Eed,ENSMUSG00000030619
Elf2,ENSMUSG00000037174
Etv1,ENSMUSG00000004151
Fbxo15,ENSMUSG00000034391
Fem1b,ENSMUSG00000032244
Foxg1,ENSMUSG00000020950
Gbx2,ENSMUSG00000034486
Grhl2,ENSMUSG00000022286
Gtf2i,ENSMUSG00000060261
Hells,ENSMUSG00000025001
Id1,ENSMUSG00000042745
Klf2,ENSMUSG00000055148
Mbd3,ENSMUSG00000035478
Mkrn1,ENSMUSG00000029922
Mybl2,ENSMUSG00000017861
Myc,ENSMUSG00000022346
Ncl,ENSMUSG00000026234
