TF,target,ChIP_seq,Kd,Literature,LoF,Overexpression
Aff1,ENSMUSG00000000983,0,0,0,0,1
Aff1,ENSMUSG00000013936,0,0,0,0,1
Aff1,ENSMUSG00000015134,0,1,0,0,0
Aff1,ENSMUSG00000015405,0,0,0,0,1
Aff1,ENSMUSG00000015750,0,0,0,0,1
Aff1,ENSMUSG00000020180,0,0,0,0,1
Aff1,ENSMUSG00000020963,0,1,0,0,0
Aff1,ENSMUSG00000020990,0,0,0,0,1
Aff1,ENSMUSG00000021365,0,1,0,0,0
Aff1,ENSMUSG00000022523,0,0,0,0,1
Aff1,ENSMUSG00000022878,0,0,0,0,1
Aff1,ENSMUSG00000023959,0,0,0,0,1
Aff1,ENSMUSG00000024043,0,0,0,0,1
Aff1,ENSMUSG00000024340,0,0,0,0,1
Aff1,ENSMUSG00000024659,0,1,0,0,0
Aff1,ENSMUSG00000024669,0,0,0,0,1
Aff1,ENSMUSG00000024778,0,1,0,0,0
Aff1,ENSMUSG00000025083,0,0,0,0,1
Aff1,ENSMUSG00000025789,0,1,0,0,0
Aff1,ENSMUSG00000026592,0,0,0,0,1
Aff1,ENSMUSG00000026605,0,0,0,0,1
Aff1,ENSMUSG00000026874,0,0,0,0,1
Aff1,ENSMUSG00000027869,0,0,0,0,1
Aff1,ENSMUSG00000027923,0,0,0,0,1
Aff1,ENSMUSG00000027962,0,0,0,0,1
Aff1,ENSMUSG00000028217,0,0,0,0,1
Aff1,ENSMUSG00000028661,0,0,0,0,1
Aff1,ENSMUSG00000028676,0,0,0,0,1
Aff1,ENSMUSG00000028753,0,0,0,0,1
Aff1,ENSMUSG00000028859,0,0,0,0,1
Aff1,ENSMUSG00000029005,0,0,0,0,1
Aff1,ENSMUSG00000029313,0,1,0,0,0
Aff1,ENSMUSG00000029368,0,1,0,0,0
Aff1,ENSMUSG00000029530,0,0,0,0,1
Aff1,ENSMUSG00000030157,0,0,0,0,1
Aff1,ENSMUSG00000030270,0,1,0,0,0
Aff1,ENSMUSG00000030361,0,0,0,0,1
Aff1,ENSMUSG00000030921,0,0,0,0,1
Aff1,ENSMUSG00000031991,0,0,0,0,1
Aff1,ENSMUSG00000032332,0,1,0,0,0
Aff1,ENSMUSG00000032737,0,0,0,0,1
